Dia ,Cambio 
20/07/2012,13.29280
23/07/2012,13.52180
24/07/2012,13.67960
25/07/2012,13.65410
26/07/2012,13.44250
27/07/2012,13.28370
30/07/2012,13.26440
31/07/2012,13.28330
01/08/2012,13.28670
02/08/2012,13.39270
03/08/2012,13.13570
06/08/2012,13.07080
07/08/2012,13.18490
08/08/2012,13.18910
09/08/2012,13.11880
10/08/2012,13.10940
13/08/2012,13.14740
14/08/2012,13.13110
15/08/2012,13.16390
16/08/2012,13.14300
17/08/2012,13.17450
20/08/2012,13.12610
21/08/2012,13.08540
22/08/2012,13.17620
23/08/2012,13.12840
24/08/2012,13.17600
27/08/2012,13.17030
28/08/2012,13.18470
29/08/2012,13.27460
30/08/2012,13.41720
31/08/2012,13.25710
03/09/2012,13.19100
04/09/2012,13.17930
05/09/2012,13.12210
06/09/2012,13.04830
07/09/2012,12.99760
10/09/2012,12.99210
11/09/2012,12.99920
12/09/2012,13.03050
13/09/2012,12.97490
14/09/2012,12.74580
17/09/2012,12.74920
18/09/2012,12.81920
19/09/2012,12.82350
20/09/2012,12.90420
21/09/2012,12.83760
24/09/2012,12.91230
25/09/2012,12.82330
26/09/2012,12.91700
27/09/2012,12.85210
28/09/2012,12.86950
01/10/2012,12.81780
02/10/2012,12.83750
03/10/2012,12.85280
04/10/2012,12.75890
05/10/2012,12.69870
08/10/2012,12.84260
09/10/2012,12.86800
10/10/2012,12.91190
11/10/2012,12.87920
12/10/2012,12.89010
15/10/2012,12.81880
16/10/2012,12.80770
17/10/2012,12.79810
18/10/2012,12.82990
19/10/2012,12.85510
22/10/2012,12.85710
23/10/2012,12.97590
24/10/2012,12.98390
25/10/2012,12.96690
26/10/2012,13.01120
29/10/2012,13.09000
30/10/2012,13.04980
31/10/2012,13.09110
01/11/2012,13.03870
05/11/2012,13.04490
06/11/2012,12.97690
07/11/2012,13.04320
08/11/2012,13.11680
09/11/2012,13.17890
12/11/2012,13.19750
13/11/2012,13.22840
14/11/2012,13.23530
15/11/2012,13.25220
16/11/2012,13.20630
20/11/2012,13.02450
21/11/2012,13.03950
22/11/2012,13.01880
23/11/2012,12.97990
26/11/2012,12.99840
27/11/2012,12.98610
28/11/2012,13.03720
29/11/2012,12.96170
30/11/2012,12.92680
03/12/2012,12.93350
04/12/2012,12.96000
05/12/2012,12.92840
06/12/2012,12.91020
07/12/2012,12.84690
10/12/2012,12.79640
11/12/2012,12.75840
13/12/2012,12.78690
14/12/2012,12.77680
17/12/2012,12.76240
18/12/2012,12.72360
19/12/2012,12.73270
20/12/2012,12.77770
21/12/2012,12.89910
24/12/2012,12.97640
26/12/2012,13.00580
27/12/2012,13.01010
28/12/2012,12.98800
31/12/2012,12.96580
02/01/2013,12.74880
03/01/2013,12.74300
04/01/2013,12.75970
07/01/2013,12.76790
08/01/2013,12.80150
09/01/2013,12.75030
10/01/2013,12.65550
11/01/2013,12.64780
14/01/2013,12.65330
15/01/2013,12.65260
16/01/2013,12.63050
17/01/2013,12.58680
18/01/2013,12.65550
21/01/2013,12.70980
22/01/2013,12.68170
23/01/2013,12.66160
24/01/2013,12.62860
25/01/2013,12.69930
28/01/2013,12.78020
29/01/2013,12.71340
30/01/2013,12.74080
31/01/2013,12.70940
01/02/2013,12.63770
05/02/2013,12.62940
06/02/2013,12.66640
07/02/2013,12.71050
08/02/2013,12.73070
11/02/2013,12.77060
12/02/2013,12.73640
13/02/2013,12.71160
14/02/2013,12.69820
15/02/2013,12.68660
18/02/2013,12.69590
19/02/2013,12.68730
20/02/2013,12.66940
21/02/2013,12.76990
22/02/2013,12.75170
25/02/2013,12.70280
26/02/2013,12.86800
27/02/2013,12.83220
28/02/2013,12.77950
01/03/2013,12.80120
04/03/2013,12.78140
05/03/2013,12.73550
06/03/2013,12.73450
07/03/2013,12.78390
08/03/2013,12.66840
11/03/2013,12.53080
12/03/2013,12.46410
13/03/2013,12.39670
14/03/2013,12.45450
15/03/2013,12.43900
19/03/2013,12.43390
20/03/2013,12.39090
21/03/2013,12.38410
22/03/2013,12.37240
25/03/2013,12.35790
26/03/2013,12.35460
27/03/2013,12.36120
01/04/2013,12.34380
02/04/2013,12.27280
03/04/2013,12.32660
04/04/2013,12.31970
05/04/2013,12.23830
08/04/2013,12.15880
09/04/2013,12.13040
10/04/2013,12.11400
11/04/2013,12.06910
12/04/2013,12.08240
15/04/2013,12.17290
16/04/2013,12.16680
17/04/2013,12.23700
18/04/2013,12.24790
19/04/2013,12.22540
22/04/2013,12.32270
23/04/2013,12.24920
24/04/2013,12.27680
25/04/2013,12.12310
26/04/2013,12.15500
29/04/2013,12.13260
30/04/2013,12.14560
02/05/2013,12.17560
03/05/2013,12.08510
06/05/2013,12.10740
07/05/2013,12.07330
08/05/2013,12.03930
09/05/2013,11.98070
10/05/2013,12.10940
13/05/2013,12.14480
14/05/2013,12.14850
15/05/2013,12.23130
16/05/2013,12.23780
17/05/2013,12.31770
20/05/2013,12.32580
21/05/2013,12.34140
22/05/2013,12.31130
23/05/2013,12.47640
24/05/2013,12.52190
27/05/2013,12.48310
28/05/2013,12.52750
29/05/2013,12.63280
30/05/2013,12.77810
31/05/2013,12.80350
03/06/2013,12.78820
04/06/2013,12.73170
05/06/2013,12.81670
06/06/2013,12.90790
